Client_Num,Card_Category,Annual_Fees,Activation_30_Days,Customer_Acq_Cost,Week_Start_Date,Week_Num,Qtr,current_year,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Vol,Avg_Utilization_Ratio,Use_Chip,Exp_Type,Interest_Earned,Delinquent_Acc
708171858,Platinum,5000,1,2858,1/11/2024,37,Q3,2024,206746,78831,64848,94,0.18,Yes,International,3752,0
708173433,Blue,10000,0,2762,6/24/2024,13,Q1,2024,469590,7572,14646,406,0.57,Yes,EMI,1245,0
708174708,Black,2000,1,2506,1/3/2024,11,Q4,2024,308029,7936,139390,362,0.6,No,Online,1192,1
708176208,Blue,10000,1,2665,7/3/2024,10,Q4,2024,639588,72600,20964,414,0.79,Yes,Online,677,0
708177333,Gold,1000,0,4610,10/30/2024,33,Q4,2024,295680,46179,175221,41,0.32,Yes,EMI,429,0
708178608,Blue,1000,0,3348,1/4/2024,20,Q2,2024,736460,23532,76995,429,0.33,Yes,ATM,4020,0
708185208,Gold,1000,1,2184,6/3/2024,38,Q1,2024,359636,88433,164861,212,0.72,No,ATM,257,1
708186933,Platinum,10000,0,789,6/8/2024,45,Q1,2024,900625,23929,18098,334,0.88,No,International,4707,0
708190158,Silver,2000,0,2504,1/22/2024,1,Q4,2024,80985,90527,192273,107,0.52,Yes,International,2656,1
708193008,Silver,5000,0,739,12/21/2024,28,Q1,2024,662630,18083,48985,136,0.9,Yes,POS,476,0
708195633,Blue,500,0,2812,1/11/2024,8,Q1,2024,75807,8063,106920,207,0.96,No,Online,447,1
708197358,Blue,500,0,2364,9/15/2024,8,Q3,2024,202439,6919,120341,332,0.87,Yes,International,676,0
708204033,Gold,10000,0,677,1/4/2024,24,Q4,2024,932923,12942,6012,12,0.79,Yes,EMI,308,0
708205083,Platinum,500,0,528,4/24/2024,44,Q2,2024,344277,52714,34492,320,0.45,No,POS,3810,1
708207783,Platinum,500,1,966,10/4/2024,6,Q2,2024,509500,17589,156817,20,0.47,Yes,ATM,2566,1
708208758,Black,500,1,2362,4/21/2024,8,Q1,2024,234954,33303,151746,11,1,No,International,2791,0
708211383,Platinum,500,1,2566,12/19/2024,44,Q3,2024,498732,92644,33393,297,0.64,No,POS,1639,0
708212658,Gold,10000,1,2141,2/13/2024,20,Q4,2024,162954,13410,183597,71,0.95,No,Online,2878,0
708216108,Gold,10000,1,2097,7/2/2024,13,Q1,2024,183881,63316,46235,450,0.78,No,POS,4703,0
708217758,Gold,5000,1,3441,2/18/2024,18,Q2,2024,546210,61017,97639,258,0.1,No,POS,4443,1
708219108,Blue,500,1,4727,2/24/2024,40,Q2,2024,568746,5568,86657,15,0.15,Yes,POS,2186,1
708219858,Black,500,0,3242,8/7/2024,10,Q1,2024,771051,37853,64089,119,0.53,No,Online,4600,0
708222558,Blue,5000,0,1523,2/25/2024,40,Q1,2024,443482,40278,140179,353,0.48,Yes,POS,188,1
708223383,Platinum,1000,1,3017,9/20/2024,5,Q3,2024,936045,90105,54808,448,0.83,No,POS,1296,1
708224133,Silver,2000,1,4678,10/20/2024,10,Q2,2024,151925,1512,168241,349,0.88,No,ATM,1914,1
708225483,Black,500,0,1663,10/10/2024,41,Q4,2024,600986,75410,188879,295,0.14,Yes,International,80,0
708226833,Platinum,2000,1,2269,6/17/2024,20,Q3,2024,176487,78360,141773,352,0.16,Yes,POS,4833,1
708229308,Black,2000,0,2194,5/10/2024,25,Q4,2024,777673,43037,47968,180,0.66,Yes,ATM,3250,1
708231183,Gold,2000,1,1734,4/15/2024,44,Q4,2024,708768,46518,137920,441,0.55,No,ATM,4945,0
708234558,Black,1000,1,4988,4/28/2024,12,Q1,2024,35552,99497,49155,327,0.96,No,International,2504,0
708238833,Blue,5000,0,2165,10/2/2024,19,Q4,2024,461979,11672,54044,328,0.55,Yes,POS,3951,0
708241233,Black,10000,0,951,11/27/2024,5,Q4,2024,208952,71595,163866,314,0.77,No,International,551,0
708242283,Platinum,5000,0,994,6/1/2024,20,Q2,2024,701058,8664,95065,337,0.12,No,ATM,4395,1
708243483,Blue,10000,1,3182,12/5/2024,17,Q1,2024,575314,72662,58579,304,0.24,Yes,POS,3278,1
708244458,Platinum,10000,0,4063,7/19/2024,25,Q4,2024,918917,46816,54076,183,0.6,Yes,Online,3051,0
708245808,Black,2000,1,1077,8/31/2024,13,Q3,2024,345034,89083,68126,197,0.84,No,International,2348,0
708248358,Black,5000,1,1422,7/10/2024,5,Q3,2024,807675,43223,162201,19,0.36,No,EMI,4343,1
708249708,Gold,1000,0,3434,1/27/2024,52,Q1,2024,60816,34424,189496,98,0.37,No,EMI,2410,0
708252108,Blue,5000,1,4861,4/27/2024,15,Q4,2024,324254,76777,50672,30,0.34,No,ATM,3405,0
708253458,Silver,10000,0,3031,2/11/2024,10,Q4,2024,974232,64025,135027,40,0.56,Yes,EMI,404,1
708254733,Gold,500,1,4104,9/23/2024,24,Q3,2024,899531,84902,15242,309,0.17,Yes,EMI,1484,0
708255633,Black,2000,1,849,8/13/2024,26,Q1,2024,395264,22128,141991,60,0.37,No,ATM,2582,1
708260208,Platinum,5000,1,1398,6/17/2024,10,Q3,2024,461784,67619,88656,115,0.1,No,POS,145,1
708266883,Gold,10000,0,4337,4/4/2024,20,Q3,2024,594370,20604,134248,418,0.52,No,POS,3788,1
708267858,Gold,2000,0,3717,6/18/2024,39,Q2,2024,555457,63420,170288,288,0.32,Yes,Online,4478,0
708269583,Silver,10000,1,3512,2/1/2024,13,Q3,2024,162360,64699,93888,415,0.39,Yes,EMI,1454,0
708271833,Black,500,1,1202,7/4/2024,51,Q4,2024,147654,79874,104105,28,0.48,Yes,ATM,4585,0
708272808,Blue,500,1,4840,8/1/2024,11,Q2,2024,851593,82525,70198,469,0.27,No,International,1649,1
708273858,Gold,5000,1,3251,5/5/2024,11,Q1,2024,80578,92645,169041,381,0.14,Yes,International,1474,1
708276183,Silver,2000,0,4353,12/17/2024,48,Q2,2024,430099,66695,123455,100,0.5,Yes,POS,940,0
708281433,Black,1000,0,4408,7/12/2024,27,Q3,2024,253232,32583,15727,329,0.2,Yes,EMI,1247,0
708285108,Gold,500,1,2888,4/13/2024,32,Q4,2024,308128,20415,40483,58,0.64,No,International,3299,1
708286683,Black,10000,0,3576,4/1/2024,37,Q1,2024,110639,33538,64391,210,0.9,Yes,ATM,4424,0
708288108,Gold,10000,1,1520,5/7/2024,12,Q2,2024,653195,18170,161476,209,0.58,Yes,POS,2368,0
708290208,Silver,5000,0,4384,2/27/2024,14,Q1,2024,401421,4460,159774,456,0.97,Yes,Online,1565,0
708291633,Gold,2000,1,3270,8/3/2024,27,Q4,2024,635463,56487,150444,373,0.17,No,EMI,1464,0
708292833,Gold,2000,0,2546,12/16/2024,23,Q1,2024,931118,80159,131030,12,0.51,No,POS,953,0
708295533,Black,500,0,2947,5/27/2024,19,Q3,2024,270926,79465,44401,44,0.18,Yes,POS,474,1
708296883,Silver,500,0,3573,4/27/2024,7,Q4,2024,46701,56019,162963,468,0.49,Yes,International,2959,1
708298233,Black,2000,1,4969,5/4/2024,22,Q4,2024,849562,42527,69216,255,0.55,No,ATM,2639,1
708300483,Gold,500,0,3110,6/24/2024,42,Q2,2024,474716,80267,19145,399,0.49,Yes,Online,1905,1
708301683,Gold,500,1,3331,10/11/2024,40,Q4,2024,152734,81358,76734,97,0.65,No,Online,3987,0
708303108,Black,500,0,3387,6/20/2024,49,Q2,2024,868650,40670,2369,170,0.78,No,Online,2777,1
708307533,Platinum,500,0,4727,10/30/2024,4,Q1,2024,409922,46220,156934,409,0.8,Yes,EMI,3388,0
708313608,Black,1000,1,4576,2/25/2024,40,Q3,2024,891264,78836,90065,485,0.11,Yes,Online,4709,0
708314808,Blue,2000,1,3356,7/3/2024,25,Q2,2024,424100,3084,172520,112,0.21,No,International,2967,1
708316008,Platinum,2000,1,2223,11/20/2024,7,Q1,2024,286806,40349,161768,268,0.49,Yes,EMI,813,1
708319908,Platinum,2000,0,3227,4/21/2024,12,Q4,2024,625155,484,107235,421,0.15,No,International,3886,1
708323208,Black,1000,1,3908,9/16/2024,36,Q2,2024,53604,5164,73347,426,0.86,Yes,POS,2493,1
708324483,Platinum,5000,0,1319,11/9/2024,3,Q3,2024,749860,90356,78210,5,0.32,Yes,International,1514,0
708330858,Silver,2000,0,4691,8/13/2024,3,Q3,2024,278448,40831,182757,228,0.28,Yes,POS,2501,1
708331758,Blue,1000,1,4826,11/17/2024,38,Q2,2024,400379,96744,25020,301,0.99,Yes,POS,1068,1
708332808,Platinum,2000,1,902,8/6/2024,44,Q4,2024,265577,47321,123779,263,0.85,No,EMI,2640,0
708334158,Black,10000,0,2319,8/8/2024,34,Q4,2024,634642,87602,124735,454,0.53,No,ATM,3215,0
708337683,Gold,10000,0,1667,6/16/2024,10,Q2,2024,212835,18497,124093,276,0.54,No,Online,2779,0
708338958,Blue,500,0,2555,1/19/2024,39,Q4,2024,62960,94433,15896,284,0.33,No,EMI,4299,1
708340758,Gold,2000,0,2178,4/10/2024,40,Q3,2024,785317,43292,157103,97,0.55,No,EMI,1520,0
708341958,Black,5000,0,1542,3/18/2024,31,Q2,2024,14616,66793,62378,331,0.77,Yes,EMI,4658,0
708344358,Platinum,1000,0,1048,9/5/2024,41,Q3,2024,366928,22561,16849,334,0.77,Yes,EMI,380,1
708347583,Blue,5000,1,2641,1/5/2024,15,Q4,2024,175550,17002,138578,57,0.56,No,ATM,970,1
708354858,Silver,1000,0,947,12/28/2024,51,Q2,2024,36992,57050,184172,399,0.12,No,Online,4080,0
708355683,Blue,5000,1,1735,9/28/2024,28,Q3,2024,765029,83647,104887,25,0.93,Yes,POS,1079,1
708357183,Gold,2000,1,625,9/5/2024,12,Q1,2024,969270,99756,51325,260,0.2,Yes,ATM,1842,0
708358683,Platinum,5000,0,1204,4/21/2024,40,Q1,2024,167035,60197,27735,295,0.89,No,Online,3192,0
708360108,Silver,10000,0,1611,8/20/2024,17,Q2,2024,634245,62511,147490,98,0.91,No,EMI,3591,1
708361833,Gold,500,1,3488,8/11/2024,45,Q3,2024,788788,44755,143947,317,0.26,Yes,International,2646,0
708367908,Silver,1000,0,3973,4/26/2024,44,Q3,2024,193100,29646,68976,142,0.99,No,International,2119,1
708369633,Blue,10000,0,679,8/4/2024,45,Q3,2024,350005,30357,136542,24,0.83,Yes,ATM,4131,0
708371733,Black,10000,1,796,10/16/2024,21,Q2,2024,610413,91130,129734,387,0.77,Yes,Online,4392,1
708373083,Silver,5000,1,3653,2/19/2024,30,Q1,2024,264154,4054,87179,392,0.4,Yes,International,2318,0
708375858,Blue,2000,0,3616,8/24/2024,14,Q1,2024,500702,43622,30835,110,0.2,No,Online,3932,0
708376983,Platinum,1000,1,3304,12/1/2024,8,Q4,2024,962265,47751,133420,273,0.78,No,POS,2344,0
708378108,Platinum,1000,1,680,10/6/2024,22,Q1,2024,601581,34981,76010,291,0.95,Yes,International,4488,1
708382083,Platinum,1000,0,590,7/15/2024,20,Q4,2024,259686,87133,163924,413,0.94,No,International,1068,0
708384033,Silver,5000,1,3054,11/8/2024,15,Q1,2024,937420,74127,191378,89,0.8,Yes,ATM,3159,1
708385533,Platinum,5000,0,4530,1/30/2024,42,Q3,2024,981695,85836,183874,350,0.94,No,ATM,1388,0
708386958,Platinum,10000,1,1621,11/16/2024,4,Q2,2024,415348,87820,155839,381,0.69,No,POS,1437,0
708387933,Platinum,10000,0,513,12/15/2024,51,Q1,2024,558524,81167,134601,227,0.53,No,Online,4828,0
708390633,Gold,5000,0,2969,1/17/2024,44,Q4,2024,80778,7142,102135,303,0.85,Yes,ATM,3594,0
708393633,Blue,5000,1,4918,11/11/2024,14,Q3,2024,198568,75786,91477,375,0.36,No,EMI,228,0
708394908,Black,1000,0,4267,9/9/2024,38,Q1,2024,61806,81026,112882,320,0.46,Yes,Online,257,0
708396033,Black,500,1,4514,8/5/2024,29,Q3,2024,298318,37962,36288,230,0.48,No,POS,510,1
708397008,Silver,2000,0,3285,9/1/2024,31,Q2,2024,849190,4790,196762,171,0.39,Yes,Online,2816,1
708398283,Blue,1000,1,2705,6/27/2024,39,Q1,2024,181210,9376,131246,390,0.57,No,International,2661,1
708399858,Platinum,2000,0,4539,10/29/2024,35,Q1,2024,156066,74981,91967,22,0.53,No,POS,645,0
708402333,Platinum,5000,1,3817,1/14/2024,43,Q4,2024,233293,21985,199516,35,0.46,No,EMI,658,0
708403308,Gold,5000,1,4224,5/14/2024,30,Q3,2024,944679,3797,182077,278,0.21,Yes,POS,4042,0
708404883,Black,500,0,4508,7/12/2024,44,Q1,2024,146975,30420,29667,302,0.85,Yes,Online,458,1
708406083,Platinum,10000,1,4674,7/2/2024,15,Q4,2024,982419,59533,122045,353,0.99,No,POS,991,1
708412758,Blue,10000,1,3122,4/14/2024,49,Q1,2024,562472,43334,170261,21,0.78,Yes,ATM,3006,0
708414033,Silver,10000,0,2572,10/22/2024,45,Q1,2024,123935,34492,198220,343,0.91,Yes,ATM,4637,0
708416433,Platinum,2000,0,2192,6/4/2024,4,Q2,2024,92067,71778,196802,451,0.68,Yes,ATM,4011,0
708419733,Platinum,10000,1,3424,8/7/2024,26,Q3,2024,558924,24999,73520,32,0.26,No,International,4845,0
708421833,Black,10000,0,799,6/26/2024,45,Q2,2024,663655,25643,141998,456,0.62,No,EMI,1501,1
708423933,Gold,5000,0,4796,12/15/2024,24,Q1,2024,956871,82769,15346,220,0.93,Yes,Online,2601,0
708426483,Gold,1000,0,1756,8/28/2024,3,Q1,2024,399523,95630,47067,287,0.24,Yes,EMI,4319,1
708427908,Blue,10000,0,1315,7/18/2024,13,Q2,2024,62148,84982,176135,238,0.38,No,POS,599,0
708428958,Silver,5000,0,2878,11/3/2024,44,Q4,2024,714455,93263,87725,111,0.37,Yes,ATM,3407,1
708431433,Blue,500,0,4529,4/12/2024,30,Q2,2024,728955,57191,58356,198,0.76,No,ATM,2405,0
708433683,Platinum,5000,1,4025,11/2/2024,47,Q3,2024,499446,99922,55245,64,0.27,No,EMI,4781,0
708434733,Gold,5000,0,2814,1/14/2024,34,Q1,2024,628924,18770,122585,461,0.1,No,POS,3307,0
708438033,Black,10000,1,4389,4/27/2024,11,Q4,2024,357457,69482,196193,25,0.72,Yes,ATM,3436,1
708442158,Black,5000,0,3302,7/26/2024,48,Q3,2024,701093,70112,191530,398,0.62,No,ATM,1896,0
708445608,Gold,5000,1,2340,2/12/2024,27,Q4,2024,367328,38210,137155,68,0.73,Yes,ATM,1530,1
708446808,Silver,2000,0,3672,1/7/2024,46,Q4,2024,498260,89113,162510,374,0.4,No,Online,3532,1
708447858,Platinum,5000,1,1112,11/21/2024,29,Q2,2024,223197,90551,12935,38,0.76,Yes,EMI,3376,0
708450033,Silver,2000,1,1452,2/27/2024,40,Q3,2024,747621,74583,135365,488,0.97,Yes,Online,2163,0
708451233,Black,500,0,1378,9/9/2024,51,Q1,2024,755454,74110,68333,230,0.18,Yes,POS,3644,1
708453408,Blue,5000,1,1209,1/13/2024,51,Q1,2024,676844,39324,91947,348,0.16,No,EMI,1901,1
708455883,Blue,500,1,4237,9/22/2024,20,Q3,2024,856008,26505,63307,116,0.57,Yes,International,1841,1
708459633,Black,5000,1,3734,1/28/2024,5,Q4,2024,461304,43737,145356,365,0.33,No,Online,1738,0
708462258,Blue,2000,0,961,9/10/2024,5,Q3,2024,702038,50380,172089,461,0.11,Yes,EMI,4847,1
708469533,Gold,2000,0,3357,12/7/2024,5,Q2,2024,764020,48644,61050,147,0.51,Yes,Online,2405,0
708472008,Gold,1000,0,2848,10/22/2024,33,Q4,2024,802073,53482,161208,303,0.47,No,International,990,0
708473133,Silver,2000,0,1590,7/18/2024,24,Q2,2024,734955,82207,33054,342,0.35,Yes,EMI,34,1
708474333,Platinum,2000,1,4850,4/20/2024,52,Q1,2024,484268,47432,52004,39,0.2,Yes,International,3689,0
708476808,Black,2000,0,3661,6/5/2024,7,Q1,2024,310876,47013,56080,343,0.69,Yes,EMI,4558,1
708478233,Black,1000,0,3381,6/2/2024,39,Q1,2024,707692,89163,3886,202,0.59,No,ATM,3942,0
708480333,Silver,1000,1,3483,4/3/2024,17,Q4,2024,44906,37470,30374,16,0.76,Yes,Online,2,0
708482658,Black,2000,0,1631,5/23/2024,27,Q4,2024,377537,54665,76957,489,0.54,Yes,Online,3822,0
708483708,Gold,2000,1,3311,3/21/2024,52,Q1,2024,725000,13728,27383,410,0.62,Yes,International,3674,1
708486033,Silver,1000,1,4686,8/10/2024,34,Q1,2024,260901,20458,28398,450,0.74,Yes,Online,3978,0
708488208,Black,500,0,1378,6/7/2024,25,Q2,2024,958944,85199,169762,368,0.27,No,Online,144,0
708489258,Gold,10000,0,3473,2/17/2024,1,Q1,2024,554530,36193,2631,459,0.42,Yes,EMI,1661,1
708491508,Platinum,5000,1,1606,8/9/2024,3,Q3,2024,354919,58659,102143,239,0.86,No,International,621,1
708492558,Blue,5000,1,4816,1/1/2024,21,Q3,2024,196846,37951,77855,147,0.54,Yes,International,1975,0
708494583,Black,10000,0,1940,2/21/2024,12,Q1,2024,157682,84042,100422,74,0.34,No,ATM,69,1
708496833,Silver,10000,0,2953,4/1/2024,33,Q4,2024,143020,3482,1176,280,0.88,No,International,1175,1
708498033,Silver,1000,1,3025,7/26/2024,12,Q2,2024,343714,26643,8861,116,0.98,No,POS,475,0
708499608,Blue,10000,0,1417,12/7/2024,19,Q4,2024,285017,28217,54274,361,0.24,Yes,Online,3251,1
708500883,Blue,1000,0,3677,1/31/2024,31,Q1,2024,479964,67541,33233,60,0.96,No,International,4884,1
708501783,Platinum,10000,1,3081,4/8/2024,24,Q4,2024,852174,97381,80724,39,0.36,Yes,Online,3212,0
708502908,Gold,2000,0,1106,2/1/2024,33,Q4,2024,977520,74477,139456,6,0.43,Yes,International,1255,1
708504783,Gold,10000,0,2721,6/9/2024,32,Q2,2024,417371,49852,163111,253,0.38,Yes,ATM,3865,1
708506508,Platinum,2000,0,712,8/1/2024,4,Q4,2024,868826,9681,117916,466,0.25,Yes,International,4058,1
708507483,Silver,5000,1,2074,8/1/2024,36,Q3,2024,740472,17538,130060,190,0.58,Yes,Online,1207,1
708508758,Blue,2000,1,4364,4/9/2024,11,Q4,2024,284764,7799,58759,325,0.51,No,ATM,4745,0
708510858,Black,1000,1,2525,4/18/2024,28,Q4,2024,93788,45641,100377,30,0.46,Yes,ATM,1528,1
708511983,Blue,5000,0,4899,6/14/2024,24,Q2,2024,912407,38788,111714,21,0.27,Yes,International,1974,1
708513183,Black,1000,0,2363,10/6/2024,31,Q4,2024,145873,85779,43049,232,0.98,No,EMI,2306,1
708514383,Platinum,5000,0,4650,2/17/2024,46,Q2,2024,510750,50446,84862,231,0.71,Yes,International,646,1
708515358,Blue,1000,0,3017,10/26/2024,10,Q2,2024,595684,34345,3364,225,0.9,Yes,International,2276,1
708516558,Black,5000,1,630,7/22/2024,12,Q3,2024,623009,69276,11722,167,0.51,No,ATM,2157,0
708519108,Black,1000,1,846,3/2/2024,12,Q3,2024,264327,53678,114916,17,0.13,Yes,International,3947,1
708522033,Platinum,2000,0,3316,9/1/2024,39,Q1,2024,914274,84094,15247,138,0.57,No,POS,1527,1
708525108,Silver,500,0,4806,11/14/2024,45,Q2,2024,856142,61458,111958,132,0.46,Yes,ATM,1168,0
708528483,Black,500,1,3309,6/26/2024,49,Q4,2024,468046,77714,176742,223,0.65,No,POS,1049,0
708532308,Gold,5000,0,1613,9/26/2024,26,Q3,2024,22443,46663,20910,64,0.61,Yes,POS,3716,1
708534033,Gold,10000,0,2997,11/5/2024,39,Q4,2024,407588,31523,182847,54,0.39,Yes,ATM,3718,0
708535158,Blue,500,0,1905,2/24/2024,34,Q2,2024,769672,22528,53173,425,0.93,Yes,ATM,4304,1
708536283,Gold,2000,1,4769,8/10/2024,7,Q3,2024,327647,20843,59218,22,0.92,No,International,1996,0
708538608,Platinum,2000,1,3933,9/26/2024,37,Q2,2024,341199,74370,122524,249,0.28,Yes,POS,4731,0
708539583,Platinum,5000,0,698,11/16/2024,37,Q2,2024,859163,62477,192202,77,0.66,Yes,POS,311,1
708542283,Silver,500,0,2992,5/12/2024,25,Q4,2024,250565,34876,5948,344,0.92,Yes,EMI,605,0
708543258,Silver,2000,0,2602,9/1/2024,27,Q1,2024,451793,93760,116700,443,0.72,Yes,EMI,1860,0
708545058,Black,10000,0,2450,2/12/2024,38,Q4,2024,173176,76853,114643,457,0.34,Yes,Online,293,0
708549033,Blue,2000,0,4087,11/4/2024,22,Q3,2024,116162,40437,145153,290,0.75,Yes,EMI,2656,0
708551508,Gold,2000,0,1653,2/25/2024,42,Q1,2024,880288,42815,144618,119,0.34,Yes,ATM,543,0
708553008,Gold,2000,0,4556,12/16/2024,17,Q1,2024,162102,22564,179894,62,0.77,No,Online,4953,0
708555633,Gold,10000,1,4519,3/18/2024,45,Q4,2024,175016,87545,99648,227,0.1,Yes,Online,475,1
708557358,Black,10000,1,4341,4/23/2024,39,Q2,2024,613130,53842,127133,478,0.64,No,Online,2451,1
708558408,Silver,2000,1,4810,11/9/2024,24,Q1,2024,82260,97447,101304,174,0.73,No,EMI,257,0
708559533,Blue,500,1,3742,7/1/2024,36,Q3,2024,549621,35941,71476,186,0.46,No,Online,3940,1
708560733,Gold,1000,1,1028,4/6/2024,50,Q1,2024,875518,43550,134735,301,1,Yes,ATM,3112,0
708563433,Gold,10000,1,1988,3/25/2024,11,Q1,2024,514571,95175,188737,432,0.4,Yes,EMI,2160,0
708564858,Gold,1000,1,4895,5/30/2024,39,Q3,2024,580060,23294,115404,377,0.62,No,EMI,1354,0
708568983,Blue,1000,1,1188,11/11/2024,35,Q4,2024,440393,21016,147172,353,0.19,Yes,Online,825,1
708572658,Gold,2000,0,2287,12/5/2024,35,Q1,2024,688223,51351,13277,340,0.17,Yes,POS,631,1
708573933,Platinum,10000,1,2436,10/21/2024,29,Q3,2024,86962,90720,190936,116,0.4,Yes,POS,1434,0
708575058,Black,2000,1,2063,4/10/2024,17,Q4,2024,121780,48665,26179,187,0.7,Yes,EMI,333,1
708577308,Platinum,1000,0,669,12/31/2024,34,Q4,2024,68314,70167,63875,35,0.75,No,ATM,2605,1
708579633,Black,500,1,2188,11/14/2024,4,Q4,2024,269710,79892,126507,348,0.4,No,EMI,1738,1
708580908,Platinum,5000,1,928,10/25/2024,30,Q1,2024,372396,96281,44970,98,0.85,Yes,EMI,1977,1
708582858,Silver,5000,1,3701,10/17/2024,22,Q2,2024,917194,56207,14491,461,0.95,Yes,Online,3163,1
708584208,Silver,1000,1,2142,5/4/2024,17,Q4,2024,371667,81495,49460,136,0.35,Yes,ATM,3947,0
708585933,Silver,5000,1,4894,5/28/2024,37,Q3,2024,736834,9794,51020,464,0.9,Yes,Online,545,0
708588408,Gold,1000,0,3615,9/2/2024,44,Q1,2024,572844,11933,74400,392,0.34,No,POS,2689,1
708590658,Black,1000,0,4843,11/19/2024,20,Q2,2024,114819,86508,48057,466,0.88,Yes,POS,2636,0
